TIME,year,month,T,R_Rf,R_Market,eR_Market,PriceEarningRatio,PriceEarningRatioSA,PriceDividendRatio
1965m7,1965,7,1965.578,0.0030952,0.0172504,0.01415515,17.37584,22.300782,32.3261
1965m8,1965,8,1965.663,0.0032946,0.0301412,0.02684659,17.53177,22.665972,32.72009
1965m9,1965,9,1965.745,0.0030952,0.0312079,0.02811272,17.94779,23.374147,33.60151
1965m10,1965,10,1965.83,0.0030952,0.0286846,0.02558943,18.09703,23.775746,34.10075
1965m11,1965,11,1965.912,0.0034939,0.0031949,-0.000299,17.99805,23.925461,34.12963
1965m12,1965,12,1965.997,0.0032946,0.013311,0.01001645,17.67437,23.694112,33.72427
1966m1,1966,1,1966.082,0.0037928,0.0109399,0.00714714,17.80916,24.058483,34.0584
1966m2,1966,2,1966.159,0.0034939,-0.0086372,-0.01213108,17.52174,23.700027,33.58333
1966m3,1966,3,1966.244,0.0037928,-0.0215301,-0.02532292,16.6442,22.611113,31.97122
1966m4,1966,4,1966.326,0.0033942,0.0244975,0.02110324,17.02602,23.113696,32.75324
1966m5,1966,5,1966.411,0.0040916,-0.0539283,-0.05801996,16.01107,21.852178,30.84601
1966m6,1966,6,1966.493,0.0037928,-0.0106566,-0.01444938,15.7619,21.555253,30.40989
1966m7,1966,7,1966.578,0.0034939,-0.0128826,-0.01637651,15.67376,21.381702,30.1193
1966m8,1966,8,1966.663,0.0040916,-0.0779615,-0.08205316,14.68144,19.913904,28.10105
1966m9,1966,9,1966.745,0.003992,-0.0066219,-0.0106139,14.1216,19.161676,26.92388
1966m10,1966,10,1966.83,0.0044899,0.042197,0.03770714,13.9644,18.825409,26.75032
1966m11,1966,11,1966.912,0.003992,0.0178399,0.0138479,14.62793,19.711251,28.15408
1966m12,1966,12,1966.997,0.003992,0.005286,0.00129398,14.65405,19.736474,28.33798
1967m1,1967,1,1967.082,0.0042908,0.082317,0.07802626,15.30815,20.432242,29.32292
1967m2,1967,2,1967.159,0.0035935,0.0113355,0.00774197,15.93192,21.074443,30.22837
1967m3,1967,3,1967.244,0.0038924,0.0428679,0.03897549,16.40734,21.443899,30.83448
1967m4,1967,4,1967.326,0.0031949,0.0412379,0.03804302,16.81331,21.686026,31.36552
1967m5,1967,5,1967.411,0.0032946,-0.040822,-0.04411656,17.24209,21.948477,31.92759
1967m6,1967,6,1967.493,0.0026964,0.0264472,0.02375081,17.15385,21.552098,31.52759
1967m7,1967,7,1967.578,0.0030952,0.047742,0.04464679,17.48308,21.804196,31.99882
1967m8,1967,8,1967.663,0.0030952,-0.0058169,-0.00891209,17.79473,22.030627,32.43367
1967m9,1967,9,1967.745,0.0031949,0.0337249,0.03052998,18.07736,22.219145,32.81165
1967m10,1967,10,1967.83,0.0038924,-0.0273712,-0.03126361,18.01507,22.068199,32.76027
1967m11,1967,11,1967.912,0.0035935,0.0072735,0.00367995,17.41729,21.263103,31.73288
1967m12,1967,12,1967.997,0.0032946,0.0332413,0.02994677,17.87992,21.751598,32.63699
1968m1,1968,1,1968.082,0.003992,-0.0372866,-0.0412786,17.70931,21.511536,32.43686
1968m2,1968,2,1968.159,0.0038924,-0.0341775,-0.03806987,16.7952,20.424992,30.86735
